tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
96500,344,20,1.3441764671275669,3.392234156351569,5.248291510911278,9.473480704616422,33,104,31,21,7432,0,29,320,68,962,263
96600,352,20,1.3704339708132967,3.399788520108986,4.4507007788802895,8.784087578026611,34,103,33,29,7556,0,30,321,102,984,302
96700,339,36,1.3740339515888733,3.214052209555524,4.6708383243937845,9.04385950902794,33,104,33,26,8030,0,34,308,107,1017,301
96800,347,29,1.3553143844818911,3.2672960080014377,4.3369144907977875,8.793039291144385,29,108,28,17,7563,0,28,283,89,984,278
96900,323,19,1.3609587509340293,3.346811800686413,4.170694937845095,8.737969710629928,30,107,30,13,6929,0,13,256,89,870,278
97000,349,28,1.3625392028401624,3.3046247906234463,4.548339316644976,9.347813501965941,33,104,33,24,7930,0,23,339,95,1021,303
97100,361,32,1.3774168223783319,3.3155337814528805,5.719821592668982,10.068918166806746,33,104,33,24,8410,0,41,352,115,1022,308
97200,337,40,1.372490078533197,3.326843788453811,5.581520913810093,10.042463477692046,33,104,33,23,8182,0,40,305,86,1036,275
97300,352,34,1.3630067379072983,3.3568603904265677,4.625001960054051,9.446801461258042,33,104,33,18,8075,0,33,314,104,991,292
97400,284,22,1.3909465822479954,3.3982457721586985,5.731861198313212,9.447795790337974,30,107,29,20,6951,0,42,212,80,871,229
97500,351,33,1.3579883208493004,3.3029462230329614,5.312085111538976,9.721472267584497,32,105,31,29,8319,0,47,300,81,1080,282
97600,364,26,1.3535867328722184,3.3415250162734917,5.896073521125978,9.438028430418905,33,104,32,21,8097,0,59,297,90,1088,259
97700,332,37,1.3671745323928153,3.267358701010929,5.822430155315288,9.657472430488628,32,105,32,30,8135,0,41,310,85,1002,268
97800,340,35,1.3534700543027585,3.304224692189475,5.453815750383087,9.524342541015917,34,103,34,29,8213,0,46,273,103,1054,302
97900,349,29,1.365810888582604,3.316621136965665,5.04815425165575,9.46328568479314,34,103,34,29,8283,0,50,323,130,1021,316
98000,349,26,1.358224271797933,3.3111496882994658,5.209572535868882,9.188876629877655,31,106,31,25,7978,0,38,305,112,1000,281
98100,309,36,1.3768187146444513,3.3654971838017516,5.001019239145787,9.498263091054111,33,104,32,23,7564,0,23,273,100,916,255
98200,337,33,1.3771889594220736,3.293770699223453,5.123641153769653,9.0215955262936,31,106,31,29,8010,0,49,317,109,997,250
98300,336,38,1.3449088957373336,3.2753256087412526,5.800204212837087,9.220560297298308,31,106,31,24,8214,0,57,347,94,1024,248
98400,340,30,1.350372351731702,3.3505135890574786,4.997508500360934,9.362417642509897,30,107,30,22,7974,0,31,341,84,1029,252
