tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
92700,1317,105,1.406936034468436,3.214581775710719,4.905104420995944,9.26168417208278,117,383,117,73,29061,0,0.6786197710437192,108
92800,1308,90,1.3833054701975038,3.203670251558055,4.276218407471312,8.607933562207936,126,374,124,75,29241,0,0.6226091633337485,120
92900,1266,102,1.4099423610145243,3.2044133213271406,4.662335577240491,9.002262768294008,120,380,120,84,29443,0,0.67019729950302,148
93000,1318,96,1.3862118327311734,3.2148180874436885,5.090118298663444,9.295937869495674,130,370,129,94,30706,0,0.7771352959065234,139
93100,1327,127,1.3816363804514733,3.2022513047185988,5.354943840692647,9.627216276853986,114,386,114,77,29630,0,0.7648975900996894,165
93200,1291,130,1.3793379496924962,3.207457979803339,5.278221441626999,9.308463565055144,126,374,126,92,29784,0,0.7229218635513253,150
93300,1334,155,1.3781841652974745,3.19349800565259,5.540448798036628,9.661886707908355,130,370,129,92,31978,0,0.8552872551118195,175
93400,1354,110,1.3782733454146447,3.221449111946723,5.627627996894108,9.877382539192741,128,372,127,83,31296,0,0.8669266365979961,175
93500,1339,120,1.3709053617144928,3.2127562596604946,5.717154345986481,9.773791135915943,124,376,123,96,31183,0,0.840508362845419,172
93600,1341,141,1.3755416212012757,3.194467866844724,5.621521237930628,9.653879344739746,132,368,132,99,32240,0,0.8477400623040267,196
93700,1357,100,1.3807960870555531,3.2327335432187407,5.578745075088194,9.729792511787895,128,372,126,94,32098,0,0.8583463322009658,216
93800,1324,95,1.388769418387239,3.2151517742564266,5.333910507380846,9.578733372479117,126,374,125,96,31317,0,0.8076925425588628,171
93900,1374,103,1.367759799022789,3.21844352871174,5.240145841419466,9.382344592244063,135,365,134,109,32103,0,0.8096249526921311,177
94000,1387,115,1.3762975992718416,3.2326926912749014,5.506790522842945,9.678290789333328,131,369,129,97,32660,0,0.8800058544009016,186
94100,1357,132,1.3750239202275498,3.1814602806823986,4.7377725438222145,9.107906877086446,125,375,125,96,30583,0,0.7085870409472637,143
94200,1310,94,1.349262772949261,3.1854148765080135,4.831455143576652,9.057182815001026,129,371,128,91,30536,0,0.7239309781868257,171
94300,1341,106,1.3782054842720017,3.2170401313659376,5.117658064770474,9.341130401195889,126,374,125,83,30872,0,0.7714994604530575,152
94400,1322,73,1.369703791617817,3.2364969093489715,5.20831137623248,9.424041569908661,124,376,122,84,29374,0,0.7450645416618307,133
94500,1381,91,1.3563925119549447,3.216866648829381,5.434663761139071,9.627720166875323,127,373,125,93,31252,0,0.8398601482193644,176
94600,1347,93,1.3843241610943182,3.2475847689110156,4.96870211985204,9.248441936345275,130,370,129,97,31594,0,0.7582260563317053,158
94700,1382,98,1.3695450443102786,3.1817857348926344,4.798569216469846,9.012609131841042,127,373,126,98,31489,0,0.7510018383367827,137
94800,1356,94,1.3405948982377576,3.186555757090922,5.39255243221314,9.452510692386484,127,373,125,100,30985,0,0.8012513767871987,176
94900,1363,90,1.3608737091431822,3.168366153083935,5.075491281321816,9.23891162948856,128,372,127,104,31137,0,0.7550136766217266,165
95000,1378,102,1.3517915045227147,3.208145147921004,5.3355324758211475,9.385295247310204,127,373,125,88,31834,0,0.8070841575952588,194
95100,1337,81,1.3727226242784065,3.193694660599379,4.4776359011758355,8.780277714354177,126,374,126,90,29900,0,0.6534743937181113,143
95200,1359,102,1.3644638714980024,3.2051336694815222,5.050640292672017,9.246983680448833,129,371,129,99,31869,0,0.8070838060422412,172
95300,1358,126,1.3678613764959888,3.2135800652904045,5.600095914225096,9.67359324310873,128,372,128,101,32643,0,0.8807572315647088,202
