tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
58600,308,10,1.5296342392913453,3.3077108872379783,7.132772426489918,10.203009641674113,40,97,0,0,12561,0,52,335,83,1025,313
58700,309,19,1.5194273102723346,3.2057466414696854,7.18038703639916,9.978061987288822,32,105,0,0,11451,0,60,240,71,898,277
58800,298,18,1.5110758778004465,3.222568363450313,5.702202894527735,9.205074950101869,39,98,0,0,11959,0,72,260,51,965,283
58900,314,20,1.5000286187840428,3.1798173070815756,6.218936951733372,9.868406695807895,42,95,0,0,12751,0,66,301,78,1076,334
59000,313,18,1.5067307956946396,3.202569219284104,6.787431359803954,10.524926445904946,36,101,0,0,12381,0,61,264,80,1040,320
59100,340,9,1.5130912779278836,3.1979721099763685,6.662604268023,10.5819415542318,37,100,0,0,12825,0,71,296,70,1097,346
59200,344,7,1.5019567872863269,3.2298410710806222,6.076913570777347,9.839551112114583,38,99,0,0,12498,0,57,300,56,1053,342
59300,356,21,1.509381540240229,3.21059303823971,6.545752012865016,9.933606333020265,42,95,0,0,13339,0,70,293,53,1135,322
59400,340,27,1.5214229465726836,3.1330911119324427,6.178655836208853,10.026362708584845,40,97,0,0,11985,0,32,296,54,948,331
59500,315,25,1.500705746206695,3.1088165319802323,5.933201430922017,9.292344200605038,36,101,0,0,12028,0,58,244,54,936,320
59600,333,26,1.4765211469598996,3.181607524865467,6.959317394537681,10.23511564291028,38,99,0,0,12701,0,54,278,59,1033,365
59700,281,23,1.5130182877458447,3.2638774908535475,5.570771136700081,9.737382512200337,41,96,0,0,11843,0,46,232,53,966,333
