tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
22400,1222,54,1.644934784621445,3.223399682655327,7.420035603654941,11.34392840961395,157,343,0,0,47300,0,1.1050620866152496,317
22500,1233,67,1.6322364494700436,3.2350092897354834,6.812994611636309,10.7938454490061,162,338,0,0,49900,0,1.058471133049714,322
22600,1249,85,1.6340941792231554,3.222169377762949,7.833580473888892,11.673147393449675,168,332,0,0,51689,0,1.2693076157192384,397
22700,1194,67,1.6471591669684438,3.1859951073681043,7.569306259390526,11.243061797455512,168,332,0,0,49966,0,1.1390956982183726,362
22800,1278,80,1.6548826153779863,3.2337785222869426,7.343733046517141,11.409190374154806,167,333,0,0,49883,0,1.192074523768088,300
22900,1245,96,1.6488499265465308,3.2221849905925173,7.468135408493404,11.308456253301497,171,329,0,0,50533,0,1.1767368497666921,328
23000,1245,74,1.6505067503651007,3.267936462627371,8.387478038857731,11.869311207503797,166,334,0,0,51626,0,1.314712872813345,424
23100,1242,65,1.6421397191868001,3.2260095134773166,7.689817624808006,11.494750140560393,153,347,0,0,49050,0,1.1733361013948498,321
23200,1204,53,1.65168248340226,3.2616767746990676,6.860472142044853,10.978304596960282,161,339,0,0,46683,0,1.018169293305052,278
23300,1241,65,1.6435264775918075,3.262239526848574,6.9866199983158035,10.915170755635593,166,334,0,0,48705,0,1.0497232790558315,295
23400,1242,90,1.6472622775463746,3.275288591054499,7.835425709972351,11.62506514407187,159,341,0,0,49684,0,1.211251436992579,351
23500,1162,76,1.676144471379114,3.2606256914378506,6.420662571195963,10.616972198626009,155,345,0,0,44909,0,0.8691886150946062,254
23600,1194,71,1.6624489537864033,3.250103522403025,7.285826754673122,11.167628005557916,172,328,0,0,50691,0,1.1450063639651307,367
23700,1258,72,1.650246954678565,3.2065512062907,8.075733108966194,11.845322268237428,164,336,0,0,50431,0,1.2654018767474,373
23800,1265,53,1.6416377737322767,3.240113661993936,6.645379034286731,10.732708856719814,153,347,0,0,46941,0,1.010431806617663,263
23900,1202,67,1.6475409615430947,3.26244812948779,6.20896405049256,10.393179227440873,175,325,0,0,48784,0,0.972770397621874,301
24000,1203,85,1.6413194033127485,3.226544660679971,8.092122508988632,11.618466464161509,160,340,0,0,50287,0,1.2145344881542515,401
