FROM,Cap,Role,TO,Distance
258,2.67,class Agent.Member,244,2
258,2.67,class Agent.Member,274,2
145,2.00,class Agent.Member,15,1
385,2.67,class Agent.Member,374,1
385,2.67,class Agent.Member,425,1
34,3.00,class Agent.Member,217,1
34,3.00,class Agent.Member,218,1
475,3.33,class Agent.Member,451,2
492,2.67,class Agent.Member,263,1
492,2.67,class Agent.Member,44,1
492,2.67,class Agent.Member,76,2
418,2.33,class Agent.Member,266,1
11,3.00,class Agent.Member,153,1
11,3.00,class Agent.Member,210,1
407,3.33,class Agent.Member,137,2
407,3.33,class Agent.Member,225,1
407,3.33,class Agent.Member,15,2
141,3.33,class Agent.Member,83,2
141,3.33,class Agent.Member,362,2
337,3.33,class Agent.Member,183,1
337,3.33,class Agent.Member,134,1
337,3.33,class Agent.Member,0,1
423,2.67,class Agent.Member,134,1
330,3.00,class Agent.Member,426,1
330,3.00,class Agent.Member,92,1
330,3.00,class Agent.Member,353,2
77,3.67,class Agent.Member,496,1
77,3.67,class Agent.Member,339,1
77,3.67,class Agent.Member,227,1
101,4.00,class Agent.Member,153,1
101,4.00,class Agent.Member,178,1
101,4.00,class Agent.Member,426,2
491,2.33,class Agent.Member,282,1
98,4.00,class Agent.Member,383,1
98,4.00,class Agent.Member,444,1
297,2.33,class Agent.Member,169,1
297,2.33,class Agent.Member,52,1
297,2.33,class Agent.Member,44,1
499,2.67,class Agent.Member,416,1
499,2.67,class Agent.Member,349,1
245,4.00,class Agent.Member,152,2
245,4.00,class Agent.Member,225,2
202,2.33,class Agent.Member,80,1
280,3.67,class Agent.Member,153,1
280,3.67,class Agent.Member,332,1
280,3.67,class Agent.Member,356,1
445,4.00,class Agent.Member,193,1
132,3.33,class Agent.Member,447,1
132,3.33,class Agent.Member,188,1
132,3.33,class Agent.Member,127,2
434,4.33,class Agent.Member,327,2
495,4.33,class Agent.Member,108,1
495,4.33,class Agent.Member,52,2
309,3.67,class Agent.Member,139,1
309,3.67,class Agent.Member,289,1
300,1.33,class Agent.Member,33,1
300,1.33,class Agent.Member,0,1
476,4.00,class Agent.Member,408,2
476,4.00,class Agent.Member,262,1
476,4.00,class Agent.Member,167,1
203,3.33,class Agent.Member,255,1
203,3.33,class Agent.Member,264,1
203,3.33,class Agent.Member,223,2
250,2.67,class Agent.Member,494,1
250,2.67,class Agent.Member,29,2
448,3.00,class Agent.Member,83,1
448,3.00,class Agent.Member,371,2
234,4.67,class Agent.Member,162,1
234,4.67,class Agent.Member,38,3
234,4.67,class Agent.Member,35,2
422,2.33,class Agent.Member,29,1
422,2.33,class Agent.Member,53,2
422,2.33,class Agent.Member,451,1
200,3.00,class Agent.Member,236,1
477,4.00,class Agent.Member,362,1
113,3.33,class Agent.Member,29,1
100,2.67,class Agent.Member,183,1
27,2.33,class Agent.Member,382,1
27,2.33,class Agent.Member,29,1
386,4.00,class Agent.Member,223,2
386,4.00,class Agent.Member,181,1
386,4.00,class Agent.Member,144,1
177,3.00,class Agent.Member,404,2
177,3.00,class Agent.Member,347,2
177,3.00,class Agent.Member,223,1
177,3.00,class Agent.Member,134,1
482,2.33,class Agent.Member,332,2
482,2.33,class Agent.Member,4,1
196,2.33,class Agent.Member,23,1
69,4.67,class Agent.Member,327,2
69,4.67,class Agent.Member,118,2
69,4.67,class Agent.Member,35,2
69,4.67,class Agent.Member,181,2
443,3.00,class Agent.Member,72,2
443,3.00,class Agent.Member,114,1
443,3.00,class Agent.Member,4,1
443,3.00,class Agent.Member,60,2
375,2.33,class Agent.Member,0,1
355,3.00,class Agent.Member,450,1
355,3.00,class Agent.Member,263,1
355,3.00,class Agent.Member,14,1
79,3.00,class Agent.Member,404,1
79,3.00,class Agent.Member,52,2
310,2.67,class Agent.Member,217,1
310,2.67,class Agent.Member,371,2
